row_id,fault_type,fault_bus,fault_impedance_ohm,pre_fault_voltage_pu,fault_voltage_pu,fault_current_pu,fault_current_ka,Ia_ka,Ib_ka,Ic_ka,I1_ka,I2_ka,I0_ka,Va_pu,Vb_pu,Vc_pu,loading_pu
1,LLL,0,0.8347,1.06,0.0915,22.1472,9.4716,8.9714,9.4716,8.7792,9.0697,0.278,0.2939,0.0915,0.0969,0.0932,0.0
2,LLL,0,4.126,1.06,0.4045,18.7659,8.0256,8.0256,7.8079,7.5596,7.7969,0.1025,0.1952,0.421,0.4154,0.4045,0.0
3,LLL,0,0.597,1.06,0.0635,20.4371,8.7403,8.571,8.7403,8.4589,8.5756,0.4372,0.2665,0.0736,0.0766,0.0635,0.0
4,LLL,0,0.4099,1.06,0.0434,20.9689,8.9677,8.9677,8.3917,8.4667,8.6022,0.2349,0.3497,0.0515,0.0434,0.0497,0.0
5,LLL,0,0.2033,1.06,0.0222,21.8952,9.3638,8.6917,9.3638,8.8189,8.8995,0.8838,0.5929,0.023,0.0289,0.0222,0.0
6,LLL,0,1.2166,1.06,0.1362,21.1654,9.0517,8.328,9.0517,8.906,8.69,0.9863,0.6158,0.1362,0.1475,0.1381,0.0
7,LLL,0,0.2259,1.06,0.0203,20.0778,8.5866,8.2747,8.1208,8.5866,8.2957,0.3607,0.6587,0.0261,0.0311,0.0203,0.0
8,LLL,0,0.0177,1.06,0.0059,21.0753,9.0132,8.6515,8.7455,9.0132,8.8029,0.1638,0.0682,0.0059,0.0081,0.0082,0.0
9,LLL,0,0.7507,1.06,0.0833,22.3296,9.5496,9.3033,9.5496,9.3469,9.3953,0.1718,0.2637,0.0833,0.0988,0.0852,0.0
10,LLL,0,0.0403,1.06,0.0022,22.1338,9.4659,9.4659,9.0902,9.2909,9.2621,0.4898,0.398,0.0022,0.0124,0.0064,0.0
11,LLL,0,0.3483,1.06,0.0332,20.7254,8.8636,8.8636,8.4951,8.7711,8.6461,0.7809,0.7232,0.0409,0.0478,0.0332,0.0
12,LLL,0,2.3933,1.06,0.256,20.8152,8.902,8.3742,8.1603,8.902,8.4778,0.3105,0.1343,0.2674,0.256,0.264,0.0
13,LLL,0,0.0377,1.06,0.0086,22.7184,9.7159,7.6491,8.9359,9.7159,8.6884,1.4203,0.2846,0.0128,0.0118,0.0086,0.0
14,LLL,0,5.0666,1.06,0.4619,19.4001,8.2968,8.2968,7.6327,7.0055,7.6308,0.1159,0.6939,0.4619,0.49,0.4928,0.0
15,LLL,0,0.4615,1.06,0.0458,21.3434,9.1279,8.6368,8.9001,9.1279,8.8841,0.1911,0.2794,0.0604,0.056,0.0458,0.0
16,LLL,0,10.9022,1.06,0.7404,13.2089,5.649,5.649,5.4494,5.2291,5.4174,0.3906,0.3874,0.7404,0.7556,0.7892,0.0
17,LLL,0,0.0044,1.06,0.0049,22.152,9.4737,8.4922,8.7575,9.4737,8.842,0.4519,1.0653,0.0104,0.0049,0.0081,0.0
18,LLL,0,0.4067,1.06,0.0399,21.6955,9.2784,8.9683,9.2528,9.2784,9.1554,0.319,0.3489,0.0399,0.0443,0.0418,0.0
19,LLL,0,0.654,1.06,0.0621,22.1073,9.4546,8.3171,9.4546,8.2736,8.6161,0.5781,1.0493,0.073,0.0743,0.0621,0.0
20,LLL,0,22.897,1.06,0.9566,8.251,3.5287,3.2781,3.1299,3.5287,3.3017,0.2212,0.2189,0.9566,0.992,0.9671,0.0
21,LLL,0,0.5007,1.06,0.0588,20.0536,8.5763,8.2916,8.5763,8.4661,8.4368,0.2985,0.2403,0.0598,0.0588,0.0608,0.0
22,LLL,0,0.3273,1.06,0.0369,24.9038,10.6505,8.917,10.6505,8.3813,9.1531,1.6813,1.061,0.0385,0.0481,0.0369,0.0
23,LLL,0,0.023,1.06,0.0047,22.7161,9.7149,9.0075,9.7149,7.7211,8.805,0.8683,0.3084,0.0106,0.0095,0.0047,0.0
24,LLL,0,0.6884,1.06,0.0736,21.8099,9.3274,8.517,9.3274,7.7376,8.4858,1.0332,0.2441,0.0736,0.0741,0.0739,0.0
25,LLL,0,0.1779,1.06,0.0189,23.7154,10.1423,10.1423,8.8834,8.8441,9.2871,0.4299,0.4811,0.0189,0.0207,0.0221,0.0
26,LLL,0,0.5584,1.06,0.0622,21.9115,9.3708,8.6905,9.3708,8.4292,8.8203,0.5281,0.2303,0.0622,0.074,0.0646,0.0
