row_id,fault_type,fault_bus,fault_impedance_ohm,pre_fault_voltage_pu,fault_voltage_pu,fault_current_pu,fault_current_ka,Ia_ka,Ib_ka,Ic_ka,I1_ka,I2_ka,I0_ka,Va_pu,Vb_pu,Vc_pu,loading_pu
1,LLL,0,0.5962,1.06,0.0649,22.2595,9.5196,9.0221,9.5196,8.8326,9.1204,0.2794,0.2919,0.0649,0.0705,0.0667,0.0
2,LLL,0,0.086,1.06,0.0078,22.1986,9.4936,9.4404,9.4936,9.3239,9.4117,0.2695,0.2766,0.0161,0.0078,0.0128,0.0
3,LLL,0,0.0336,1.06,0.0053,22.4073,9.5828,8.0984,9.5828,8.9095,8.8565,0.2282,0.6641,0.0075,0.01,0.0053,0.0
4,LLL,0,0.2429,1.06,0.028,23.5678,10.0791,10.0791,8.4736,8.2319,8.9134,0.2351,0.9387,0.0326,0.0355,0.028,0.0
5,LLL,0,0.5334,1.06,0.0545,22.3333,9.5512,9.0703,9.5512,9.2625,8.9618,1.8742,1.6136,0.0545,0.0709,0.0555,0.0
6,LLL,0,0.4325,1.06,0.0522,20.2764,8.6715,8.6715,8.2271,7.6728,8.1802,0.1099,0.569,0.0551,0.0604,0.0522,0.0
7,LLL,0,0.122,1.06,0.0138,22.0333,9.4229,8.6001,9.4229,9.0758,9.0328,0.2613,0.2177,0.0138,0.0154,0.0141,0.0
8,LLL,0,0.0579,1.06,0.0069,24.3598,10.4179,9.155,9.2738,10.4179,9.5375,0.5782,1.2183,0.0091,0.0069,0.0131,0.0
9,LLL,0,0.2492,1.06,0.0218,20.5445,8.7862,8.7862,8.7462,8.6118,8.7125,0.0887,0.1924,0.0218,0.0291,0.0347,0.0
10,LLL,0,12.9972,1.06,0.8225,12.5745,5.3777,5.048,5.3777,4.5154,4.9786,0.2812,0.2541,0.8449,0.8225,0.8409,0.0
11,LLL,0,1.5423,1.06,0.1713,23.0543,9.8596,8.1531,9.8596,8.4685,8.7444,0.7559,1.1959,0.1719,0.1846,0.1713,0.0
12,LLL,0,0.0648,1.06,0.0087,23.2357,9.9372,9.9372,9.0499,9.4274,9.4346,0.3252,0.851,0.0114,0.009,0.0087,0.0
13,LLL,0,0.1564,1.06,0.0143,24.5234,10.4878,9.5671,7.5905,10.4878,8.7535,1.9345,2.4522,0.0225,0.0143,0.0199,0.0
14,LLL,0,7.1615,1.06,0.615,15.7635,6.7415,6.6132,6.7415,6.2924,6.5442,0.2001,0.243,0.615,0.6285,0.6202,0.0
15,LLL,0,0.2018,1.06,0.0229,22.8409,9.7683,9.4604,9.7683,9.2666,9.4641,0.4548,0.6983,0.0229,0.0277,0.0275,0.0
16,LLL,0,21.178,1.06,0.912,8.9608,3.8322,3.8322,3.4272,3.3248,3.5222,0.1935,0.228,0.912,0.9312,0.9612,0.0
17,LLL,0,19.4794,1.06,0.886,8.6475,3.6982,3.2193,3.5338,3.6982,3.4623,0.2363,0.3647,0.9043,0.886,0.9199,0.0
18,LLL,0,0.054,1.06,0.009,21.3162,9.1162,8.7461,8.9247,9.1162,8.9046,0.5418,0.4048,0.0112,0.011,0.009,0.0
19,LLL,0,14.3418,1.06,0.8589,11.4459,4.895,4.7393,4.895,4.6581,4.7542,0.2107,0.2442,0.8589,0.8856,0.8712,0.0
20,LLL,0,0.1709,1.06,0.0181,22.4908,9.6186,9.6186,9.2512,9.2094,9.3477,0.2312,0.4543,0.0224,0.0181,0.0256,0.0
21,LLL,0,0.0874,1.06,0.0103,20.8467,8.9155,8.9155,8.8212,8.5476,8.7533,0.1809,0.3663,0.0126,0.0133,0.0103,0.0
22,LLL,0,0.0407,1.06,0.0049,22.298,9.5361,9.5361,9.0819,9.1611,9.2468,0.2732,0.4518,0.0049,0.0054,0.0077,0.0
