row_id,fault_type,fault_bus,fault_impedance_ohm,pre_fault_voltage_pu,fault_voltage_pu,fault_current_pu,fault_current_ka,loading_pu
1,LLL,0,0.01,1.06,0.4582,1.0927,8.7415,0.781
2,LLL,0,0.014,1.06,0.4611,1.087,8.6957,0.7878
3,LLL,0,0.018,1.06,0.4638,1.0813,8.6507,0.7947
4,LLL,0,0.022,1.06,0.4665,1.0758,8.6066,0.8017
5,LLL,0,0.026,1.06,0.4692,1.0704,8.5634,0.8087
6,LLL,0,0.03,1.06,0.4718,1.0651,8.5209,0.8158
7,LLL,0,0.034,1.06,0.4743,1.0599,8.4793,0.8229
8,LLL,0,0.038,1.06,0.4944,1.0228,8.1826,0.8126
9,LLL,0,0.042,1.06,0.4967,1.0181,8.1448,0.74
10,LLL,0,0.046,1.06,0.4989,1.0135,8.1076,0.7474
11,LLL,0,0.01,1.06,0.4502,1.1073,8.8585,0.809
12,LLL,0,0.014,1.06,0.4531,1.1014,8.8116,0.8158
13,LLL,0,0.018,1.06,0.4559,1.0957,8.7656,0.8226
14,LLL,0,0.022,1.06,0.4587,1.09,8.7204,0.8295
15,LLL,0,0.026,1.06,0.4795,1.0516,8.4131,0.8184
16,LLL,0,0.03,1.06,0.482,1.0465,8.3721,0.8256
17,LLL,0,0.034,1.06,0.4845,1.0415,8.3318,0.7528
18,LLL,0,0.038,1.06,0.4869,1.0365,8.2922,0.7601
19,LLL,0,0.042,1.06,0.4892,1.0317,8.2534,0.7674
20,LLL,0,0.046,1.06,0.4915,1.0269,8.2152,0.7748
21,LLL,0,0.01,1.06,0.4421,1.122,8.9756,0.8371
22,LLL,0,0.014,1.06,0.4637,1.0821,8.657,0.8252
23,LLL,0,0.018,1.06,0.4665,1.0766,8.6124,0.8321
24,LLL,0,0.022,1.06,0.4691,1.0711,8.5687,0.8391
25,LLL,0,0.026,1.06,0.4718,1.0657,8.5258,0.7662
26,LLL,0,0.03,1.06,0.4743,1.0605,8.4837,0.7733
27,LLL,0,0.034,1.06,0.4769,1.0553,8.4424,0.7804
28,LLL,0,0.038,1.06,0.4793,1.0502,8.4018,0.7876
29,LLL,0,0.042,1.06,0.4992,1.0136,8.1086,0.7775
